#ID_REF = ID
#VALUE = X score
#P = p value
ID_REF	VALUE	P
YBL084C	0.8063599629951392	0.420035
YBL113C	-0.7805859959279462	0.435046
YBR030W	0.1974480844894147	0.843477
YBL086C	1.2951782348256373	0.195259
YBR002C	0.27341217241501115	0.784536
YBR004C	0.7460246547847564	0.455653
YBR034C	1.407705490383108	0.159218
YBL090W	0.5165836584483602	0.605447
YBR006W	2.278015416206562	0.0227257
YBR036C	1.4048262579516186	0.160073
YCL048W	0.48182378617122656	0.629931
YCR010C	0.48480545465820446	0.627814
YCR038C	0.26553000061036053	0.790601
YCL050C	-0.7966367380017633	0.425662
YCR012W	1.242172888825582	0.214173
YCR040W	1.8610900000000001	0.0627315
YCL052C	0.4109736083792495	0.681092
YCR014C	0.5796820799028481	0.562129
YCR042C	1.2972244002716784	0.194554
YCL055W	-0.31850449739182934	0.750102
YCR016W	0.11495705698254735	0.908479
YCR044C	1.0278179778809924	0.304035
YDR034C-C	0.49515696119441344	0.620489
YDR064W	-1.1864372113925874	0.23545
YDR006C	0.05889022532320459	0.95304
YDR034W-B	1.431566856230187	0.152268
YDR066C	-0.5860609544543371	0.557835
YDR008C	0.6973320261815508	0.485595
YDR036C	1.4594934914217108	0.144429
YDR068W	0.6129539161457989	0.539907
YDR038C	0.5049801754631904	0.613573
YDR070C	0.5668794339121019	0.570796
YDR366C	-1.9706576907274833	0.048763
YDR398W	0.38705095066736817	0.698718
YDR430C	0.716556	0.473648
YDR400W	0.4678196342128562	0.639914
YDR432W	-0.7491872232917388	0.453744
YDR370C	-1.019647386164936	0.307896
YDR402C	0.4796414984753601	0.631482
YDR434W	-1.036833500072177	0.299813
YDR372C	-1.1442696846496103	0.252512
YDR404C	0.5909268027842889	0.554569
YDR436W	0.8427417744073215	0.399373
YER112W	-1.8846902624219561	0.0594717
YER141W	0.01737286335663218	0.986139
YER172C	-0.17110823263350536	0.864139
YER114C	0.7402678040430507	0.459138
YER143W	-0.2931172118867957	0.769433
YER174C	0.1588605239804785	0.873779
YER116C	0.16907110082781604	0.865741
YER145C	0.4221041352060722	0.672949
YER176W	-0.2807195280612625	0.778926
YER118C	-0.33528078388400806	0.737413
YER147C	0.3089470602870333	0.757362
YER178W	0.5476368617104713	0.583941
YGL199C	1.178011630364553	0.238792
YGL230C	0.18026684174390634	0.856943
YGL169W	0.37566944874033414	0.707163
YGL232W	-0.17858030440016642	0.858267
YGL171W	0.14337378826686767	0.885995
YGL203C	-0.4257598424482312	0.670283
YGL234W	0.9126669729421717	0.361418
YGL173C	0.7650059775571973	0.444268
YGL205W	null	1
YGL236C	0.499881	0.617159
YGR276C	0.3462493895092449	0.729155
YHL010C	0.3126302313191864	0.754562
YHL042W	0.48418504160030273	0.628255
YGR278W	0.544358121584094	0.586195
YHL012W	0.33999115778747985	0.733863
YHL044W	0.22589783773580577	0.821281
YGR280C	0.14758828278151268	0.882668
YHL014C	0.31928119345665923	0.749513
YHL046C	0.12733196110224723	0.898678
YGR282C	1.5289208216707628	0.126284
YHL016C	0.6556042875694744	0.512079
YHL048W	0.6064244617857357	0.544233
YIL078W	0.4463307354160473	0.655358
YIL110W	0.1223550656288798	0.902618
YIL142W	0.6427555255179708	0.520383
YIL112W	-0.19453857724575024	0.845754
YIL144W	-0.12790010835173699	0.898228
YIL146C	-0.1858057816321074	0.852597
YIL084C	0.30891581423932185	0.757386
YIL116W	0.179895818082241	0.857234
YIL148W	-1.3069244623570788	0.191238
YJR016C	-0.4820013580222429	0.629805
YJR048W	-0.388900931110848	0.697349
YJR080C	-0.13629470895425383	0.891588
YJR018W	-0.35739648807425334	0.720795
YJR050W	0.9673215671160862	0.333383
YJR083C	-0.14625796483049275	0.883718
YJR020W	0.15081769877273918	0.88012
YJR052W	0.1668123772404466	0.867518
YJR085C	0.39443135168063437	0.693263
YJR022W	-0.422743542792597	0.672482
YJR054W	-0.7889328554247068	0.430151
YJR087W	0.018427171292843776	0.985298
YKR008W	-0.38550796316911184	0.699861
YKR039W	0.406291	0.684529
YKR071C	1.0630793749744216	0.287746
YKR010C	-0.3958551188516398	0.692212
YKR041W	-0.10615519916985698	0.915459
YKR012C	-0.3194243116478113	0.749405
YKR043C	-0.15063382627957306	0.880265
YKR075C	-0.005523642442987157	0.995593
YKR014C	-0.41385452677419654	0.678981
YKR045C	-0.5419023014804022	0.587886
YKR077W	-0.46141776042971566	0.644499
YLR214W	0.6269031379479069	0.530723
YLR244C	-0.31480410801058745	0.75291
YLR274W	-0.31970311687080694	0.749193
YLR216C	0.08542511371482762	0.931923
YLR246W	0.13494347698461448	0.892657
YLR276C	0.22981744295405998	0.818234
YLR218C	0.28402993811912836	0.776387
YLR248W	-0.03800372565313509	0.969685
YLR278C	0.9847161380004442	0.324764
YLR220W	0.5459691124089491	0.585087
YLR250W	0.16888131516237145	0.86589
YLR280C	0.9954642702379949	0.319511
YML112W	-1.0100829360895767	0.312456
YMR010W	-0.1252673734130598	0.900312
YMR041C	0.07723705325950747	0.938435
YML114C	0.7994897504860029	0.424006
YMR043W	0.15505998455819664	0.876774
YML116W	0.15572956600451324	0.876246
YMR014W	0.56317662913522	0.573315
YMR045C	-0.4844814812525963	0.628044
YML117W-A	-0.09119084799002969	0.927341
YMR046W-A	-2.810850162296041	0.00494108
YNL048W	-0.1842374475303336	0.853827
YNL079C	-0.5437690355190192	0.5866
YNL018C	0.360749	0.718287
YNL050C	-0.4252976820508797	0.67062
YNL081C	0.9555599999999999	0.339295
YNL020C	1.0430375371507392	0.296931
YNL052W	0.3941180325451176	0.693494
YNL083W	0.7326744425025573	0.463757
YNL022C	0.2333940380888191	0.815455
YNL085W	-0.20885235711019548	0.834563
YNR057C	-0.0074788514715288254	0.994033
YOL012C	-0.4236455903501685	0.671824
YOL043C	0.679292367576818	0.496953
YNR059W	0.6051369605765455	0.545088
YNR061C	0.7934805228814648	0.427498
YOL015W	0.3631644611170501	0.716482
YOL047C	0.8900173615410883	0.373457
YNR063W	-0.1360438646226961	0.891787
YOL017W	-0.13440545567791257	0.893082
YOR191W	0.45084365268861976	0.652102
YOR253W	-0.4970231158428491	0.619173
