#ID_REF = ID
#VALUE = X score
#P = p value
ID_REF	VALUE	P
YBL084C	0.787684	0.430882
YBL113C	-2.0426524532999073	0.0410869
YBR030W	-0.08116288799527685	0.935312
YBL086C	0.305834434316572	0.759731
YBR002C	-0.37743681607722934	0.705849
YBR004C	-0.8428607029231058	0.399306
YBR034C	-0.7106358818413593	0.47731
YBL090W	-0.4433273241345538	0.657529
YBR006W	-0.3530262453360059	0.724069
YBR036C	-1.3935511507849758	0.163453
YCL048W	0.236337	0.813171
YCR010C	0.0136352	0.989121
YCR038C	-0.3166660329650365	0.751497
YCL050C	-1.6634133006751615	0.0962297
YCR012W	-1.8790443961046726	0.0602384
YCR040W	-2.6997371829626746	0.00693943
YCL052C	-0.7306507819983037	0.464992
YCR014C	0.03870014358164583	0.969129
YCR042C	0.771858	0.440199
YCL055W	-0.45589798837110723	0.648463
YCR016W	0.1816540893041988	0.855854
YCR044C	-0.11074955035075439	0.911815
YDR034C-C	-1.1660597126672294	0.24359
YDR064W	-0.1918522992036321	0.847858
YDR006C	-1.298062964261807	0.194266
YDR034W-B	0.08483979840259263	0.932389
YDR066C	-0.6176020140329177	0.536838
YDR008C	0.20338502922836318	0.838834
YDR036C	0.03426063439730067	0.972669
YDR068W	0.6938633879526448	0.487768
YDR038C	-0.01045371438526259	0.991659
YDR070C	0.879025	0.379388
YDR366C	-0.8671968344230082	0.385834
YDR398W	0.02310257171346152	0.981568
YDR430C	-0.008552164501699641	0.993176
YDR400W	-0.341888	0.732435
YDR432W	-1.074162366505917	0.28275
YDR370C	-0.9656352795024767	0.334227
YDR402C	-0.190753	0.848719
YDR434W	-1.3809563649810026	0.167292
YDR372C	-0.8496720746864885	0.395507
YDR404C	-0.6383025605917548	0.523277
YDR436W	-0.3021525516671791	0.762536
YER112W	-0.7968251292048861	0.425553
YER141W	-0.3997681528371599	0.689327
YER172C	-0.19280099999999997	0.847115
YER114C	0.9553149999999999	0.339418
YER143W	-0.5643766046021071	0.572498
YER174C	-0.24462693044421538	0.806745
YER116C	-0.010344684365872645	0.991746
YER145C	-1.5923380071813653	0.111309
YER176W	0.656926	0.511228
YER118C	-1.2673199714738834	0.205041
YER147C	0.43659859305786813	0.662402
YER178W	-1.6212064422199233	0.104973
YGL199C	-0.6886371279163623	0.491052
YGL230C	null	1
YGL169W	-0.9931874631997984	0.320619
YGL232W	0.028544066521763056	0.977228
YGL171W	-0.024901728426981982	0.980133
YGL203C	-0.0310393	0.975238
YGL234W	-0.48746460747298276	0.625929
YGL173C	0.23920998576374927	0.810943
YGL205W	1.10564	0.268882
YGL236C	0.606485	0.544193
YGR276C	-0.5966188000018349	0.550762
YHL010C	-0.458006	0.646948
YHL042W	1.12647	0.259967
YGR278W	-0.6469606042610855	0.517657
YHL012W	-0.522500497923308	0.601322
YHL044W	-0.863275	0.387986
YGR280C	1.348371139836294	0.177539
YHL014C	-1.1150405891874267	0.264833
YHL046C	0.307547	0.758427
YGR282C	-1.329614627031038	0.183645
YHL016C	-0.3404193620539572	0.733541
YHL048W	-1.2467027306738407	0.212507
YIL078W	-1.0094939871535205	0.312738
YIL110W	-0.7108336670572631	0.477187
YIL142W	-1.020252011716344	0.307609
YIL112W	0.550984	0.581645
YIL144W	-0.11205203162272477	0.910782
YIL146C	-0.8810469716310099	0.378292
YIL084C	0.07896224189073368	0.937063
YIL116W	-1.1381411415658693	0.255062
YIL148W	0.1956366605201112	0.844895
YJR016C	-1.3854845289168913	0.165904
YJR048W	-0.23163352721546124	0.816823
YJR080C	-0.5236636526567634	0.600513
YJR018W	-1.11166074599768	0.266284
YJR050W	1.3255883718904142	0.184976
YJR083C	-0.5085748767221531	0.61105
YJR020W	-0.180325	0.856897
YJR052W	-0.16699128077227426	0.867377
YJR085C	-0.1455259821110681	0.884296
YJR022W	-0.561511666678169	0.574449
YJR054W	-1.433740047503422	0.151646
YJR087W	-0.6144935929215999	0.538889
YKR008W	-0.4816057351078037	0.630086
YKR039W	-0.403016	0.686936
YKR071C	1.0621	0.28819
YKR010C	0.31357395623804785	0.753845
YKR041W	-0.2809804453083932	0.778725
YKR012C	-1.7684941967150707	0.0769783
YKR043C	-1.4104115405077553	0.158418
YKR075C	0.029908374714105995	0.97614
YKR014C	-0.4106335706537418	0.681341
YKR045C	-1.1820645425569782	0.23718
YKR077W	-1.7298590729825427	0.0836555
YLR214W	-1.5212114704546258	0.128207
YLR244C	-0.7681920798054241	0.442373
YLR274W	-0.9905906312354661	0.321886
YLR216C	-1.7637149770584097	0.07778
